timestamp,eye_ar,head_direction,observation_complete
1770830930.8814523,0.0,FORWARD,1
1770830930.9295561,0.307,FORWARD,1
1770830930.97372,0.261,FORWARD,1
1770830931.0176396,0.0,FORWARD,1
1770830931.0613089,0.0,FORWARD,1
1770830931.1096108,0.0,FORWARD,1
1770830931.1549008,0.0,FORWARD,1
1770830931.2001114,0.329,FORWARD,1
1770830931.2465048,0.0,FORWARD,1
1770830931.292479,0.0,FORWARD,1
1770830931.33672,0.362,FORWARD,1
1770830931.3870442,0.316,LEFT,1
1770830931.4264,0.395,FORWARD,1
1770830931.4809957,0.306,FORWARD,1
1770830931.5291126,0.333,FORWARD,1
1770830931.5661666,0.313,FORWARD,1
1770830931.6082084,0.307,FORWARD,1
1770830931.651452,0.326,FORWARD,1
1770830931.7115517,0.33,FORWARD,1
1770830931.744214,0.283,FORWARD,1
1770830931.7849312,0.275,FORWARD,1
1770830931.8308992,0.276,FORWARD,1
1770830931.875285,0.305,FORWARD,1
1770830931.9241436,0.297,RIGHT,1
1770830931.9667943,0.282,RIGHT,1
1770830932.012557,0.301,RIGHT,1
1770830932.056243,0.278,RIGHT,1
1770830932.1020498,0.333,RIGHT,1
1770830932.140966,0.328,RIGHT,1
1770830932.19265,0.326,RIGHT,1
1770830932.235466,0.356,RIGHT,1
1770830932.2795787,0.355,RIGHT,1
1770830932.3253715,0.0,RIGHT,1
1770830932.380501,0.311,RIGHT,1
1770830932.416827,0.341,RIGHT,1
1770830932.4644535,0.0,RIGHT,1
1770830932.5114794,0.322,RIGHT,1
1770830932.5546129,0.0,RIGHT,1
1770830932.602108,0.367,RIGHT,1
1770830932.6437364,0.349,RIGHT,1
1770830932.6929317,0.312,RIGHT,1
1770830932.730985,0.333,RIGHT,1
1770830932.7761326,0.339,RIGHT,1
1770830932.8283145,0.351,RIGHT,1
1770830932.864815,0.35,RIGHT,1
1770830932.9107537,0.285,RIGHT,1
1770830932.9525404,0.239,RIGHT,1
1770830932.9990716,0.295,RIGHT,1
1770830933.043335,0.293,RIGHT,1
1770830933.090341,0.279,RIGHT,1
1770830933.1346974,0.304,RIGHT,1
1770830933.1765237,0.299,RIGHT,1
1770830933.2230506,0.259,RIGHT,1
1770830933.267029,0.266,RIGHT,1
1770830933.3136783,0.278,RIGHT,1
1770830933.3555937,0.24,RIGHT,1
1770830933.4001553,0.268,FORWARD,1
1770830933.4462361,0.271,RIGHT,1
1770830933.4890904,0.226,FORWARD,1
1770830933.5317419,0.263,FORWARD,1
1770830933.5772717,0.238,FORWARD,1
1770830933.6239517,0.278,RIGHT,1
1770830933.668135,0.28,RIGHT,1
1770830933.7137892,0.274,RIGHT,1
1770830933.756314,0.292,RIGHT,1
1770830933.8013928,0.283,RIGHT,1
1770830933.8477643,0.261,RIGHT,1
1770830933.8928747,0.295,RIGHT,1
1770830933.9392893,0.313,RIGHT,1
1770830933.983168,0.298,RIGHT,1
1770830934.029342,0.284,RIGHT,1
1770830934.0783203,0.299,RIGHT,1
1770830934.1207244,0.34,RIGHT,1
1770830934.1647804,0.326,RIGHT,1
1770830934.2100577,0.34,RIGHT,1
1770830934.254169,0.318,RIGHT,1
1770830934.2994332,0.31,RIGHT,1
1770830934.3458693,0.265,RIGHT,1
1770830934.393273,0.319,RIGHT,1
1770830934.4357784,0.302,RIGHT,1
1770830934.4805565,0.321,RIGHT,1
